name,team,position,pos_rank,rank,tier,bye_week,source_date
Carnell Tate,TEN,WR,26,49,6,9.0,2026-08-20
Davante Adams,LAR,WR,27,50,6,11.0,2026-08-20
David Montgomery,HOU,RB,19,51,6,8.0,2026-08-20
Christian Watson,GB,WR,28,52,6,11.0,2026-08-20
Drake Maye,NE,QB,3,53,6,11.0,2026-08-20
D'Andre Swift,CHI,RB,20,54,6,10.0,2026-08-20
Bucky Irving,TB,RB,21,55,6,10.0,2026-08-20
Cam Skattebo,NYG,RB,22,56,7,8.0,2026-08-20
Tyler Warren,IND,TE,4,57,7,13.0,2026-08-20
Jameson Williams,DET,WR,29,58,7,6.0,2026-08-20
Jayden Daniels,WAS,QB,4,59,7,7.0,2026-08-20
Joe Burrow,CIN,QB,5,60,7,6.0,2026-08-20
TreVeyon Henderson,NE,RB,23,61,7,11.0,2026-08-20
Bhayshul Tuten,JAX,RB,24,62,7,7.0,2026-08-20
Quinshon Judkins,CLE,RB,25,63,7,11.0,2026-08-20
Jalen Hurts,PHI,QB,6,64,7,10.0,2026-08-20
Parker Washington,JAX,WR,30,65,7,7.0,2026-08-20
Rome Odunze,CHI,WR,31,66,7,10.0,2026-08-20
Jadarian Price,SEA,RB,26,67,7,11.0,2026-08-20
Tucker Kraft,GB,TE,5,68,7,11.0,2026-08-20
Justin Herbert,LAC,QB,7,69,7,7.0,2026-08-20
Marvin Harrison Jr.,ARI,WR,32,70,8,14.0,2026-08-20
Caleb Williams,CHI,QB,8,71,8,10.0,2026-08-20
Trevor Lawrence,JAX,QB,9,72,8,7.0,2026-08-20
DK Metcalf,PIT,WR,33,73,8,9.0,2026-08-20
Jaylen Warren,PIT,RB,27,74,8,9.0,2026-08-20
Dak Prescott,DAL,QB,10,75,8,14.0,2026-08-20
Courtland Sutton,DEN,WR,34,76,8,10.0,2026-08-20
Jordyn Tyson,NO,WR,35,77,8,8.0,2026-08-20
Sam LaPorta,DET,TE,6,78,8,6.0,2026-08-20
Alec Pierce,IND,WR,36,79,8,13.0,2026-08-20
Jonathon Brooks,CAR,RB,28,80,8,5.0,2026-08-20
Rhamondre Stevenson,NE,RB,29,81,8,11.0,2026-08-20
Chris Godwin Jr.,TB,WR,37,82,8,10.0,2026-08-20
Brian Thomas Jr.,JAX,WR,38,83,8,7.0,2026-08-20
Jaxson Dart,NYG,QB,11,84,8,8.0,2026-08-20
Kyle Pitts Sr.,ATL,TE,7,85,8,11.0,2026-08-20
Tony Pollard,TEN,RB,30,86,8,9.0,2026-08-20
Brock Purdy,SF,QB,12,87,8,8.0,2026-08-20
Michael Pittman Jr.,PIT,WR,39,88,8,9.0,2026-08-20
Quentin Johnston,LAC,WR,40,89,8,7.0,2026-08-20
Makai Lemon,PHI,WR,41,90,8,10.0,2026-08-20
Harold Fannin Jr.,CLE,TE,8,91,8,11.0,2026-08-20
Rico Dowdle,PIT,RB,31,92,8,9.0,2026-08-20
Wan'Dale Robinson,TEN,WR,42,93,8,9.0,2026-08-20
Patrick Mahomes II,KC,QB,13,94,8,5.0,2026-08-20
RJ Harvey,DEN,RB,32,95,8,10.0,2026-08-20
Bo Nix,DEN,QB,14,96,9,10.0,2026-08-20
Jordan Addison,MIN,WR,43,97,9,6.0,2026-08-20
Jared Goff,DET,QB,15,98,9,6.0,2026-08-20
Josh Downs,IND,WR,44,99,9,13.0,2026-08-20
KC Concepcion,CLE,WR,45,100,9,11.0,2026-08-20
Blake Corum,LAR,RB,33,101,9,11.0,2026-08-20
Jakobi Meyers,JAX,WR,46,102,9,7.0,2026-08-20
Stefon Diggs,WAS,WR,47,103,9,7.0,2026-08-20
Travis Kelce,KC,TE,9,104,9,5.0,2026-08-20
George Kittle,SF,TE,10,105,9,8.0,2026-08-20
Chuba Hubbard,CAR,RB,34,106,9,5.0,2026-08-20
Kenny Gainwell,TB,RB,35,107,9,10.0,2026-08-20
Michael Wilson,ARI,WR,48,108,9,14.0,2026-08-20
J.K. Dobbins,DEN,RB,36,109,9,10.0,2026-08-20
Rachaad White,WAS,RB,37,110,9,7.0,2026-08-20
Kyle Monangai,CHI,RB,38,111,9,10.0,2026-08-20
Isaiah Likely,NYG,TE,11,112,9,8.0,2026-08-20
Malik Willis,MIA,QB,16,113,9,6.0,2026-08-20
Dalton Kincaid,BUF,TE,12,114,9,7.0,2026-08-20
Kyler Murray,MIN,QB,17,115,9,6.0,2026-08-20
Jayden Reed,GB,WR,49,116,9,11.0,2026-08-20
Matthew Stafford,LAR,QB,18,117,9,11.0,2026-08-20
Jordan Love,GB,QB,19,118,9,11.0,2026-08-20
Deebo Samuel Sr.,SF,WR,50,119,9,8.0,2026-08-20
Romeo Doubs,NE,WR,51,120,9,11.0,2026-08-20
Jalen Coker,CAR,WR,52,121,10,5.0,2026-08-20
Tyler Shough,NO,QB,20,122,10,8.0,2026-08-20
Dallas Goedert,PHI,TE,13,123,10,10.0,2026-08-20
Baker Mayfield,TB,QB,21,124,10,10.0,2026-08-20
Xavier Worthy,KC,WR,53,125,10,5.0,2026-08-20
Jacory Croskey-Merritt,WAS,RB,39,126,10,7.0,2026-08-20
Jordan Mason,MIN,RB,40,127,10,6.0,2026-08-20
Aaron Jones Sr.,MIN,RB,41,128,10,6.0,2026-08-20
Jake Ferguson,DAL,TE,14,129,10,14.0,2026-08-20
Denzel Boston,CLE,WR,54,130,10,11.0,2026-08-20
Juwan Johnson,NO,TE,15,131,10,8.0,2026-08-20
Matthew Golden,GB,WR,55,132,10,11.0,2026-08-20
Khalil Shakir,BUF,WR,56,133,10,7.0,2026-08-20
Mark Andrews,BAL,TE,16,134,10,13.0,2026-08-20
Rashid Shaheed,SEA,WR,57,135,10,11.0,2026-08-20
C.J. Stroud,HOU,QB,22,136,10,8.0,2026-08-20
Cam Ward,TEN,QB,23,137,10,9.0,2026-08-20
Omar Cooper Jr.,NYJ,WR,58,138,10,13.0,2026-08-20
Greg Dulcich,MIA,TE,17,139,10,6.0,2026-08-20
Tyrone Tracy Jr.,NYG,RB,42,140,10,8.0,2026-08-20
Dalton Schultz,HOU,TE,18,141,10,8.0,2026-08-20
Brenton Strange,JAX,TE,19,142,10,7.0,2026-08-20
Chig Okonkwo,WAS,TE,20,143,10,7.0,2026-08-20
De'Zhaun Stribling,SF,WR,59,144,10,8.0,2026-08-20
Tyler Allgeier,ARI,RB,43,145,10,14.0,2026-08-20
Keaton Mitchell,LAC,RB,44,146,10,7.0,2026-08-20
Jonah Coleman,DEN,RB,45,147,10,10.0,2026-08-20
Alvin Kamara,NO,RB,46,148,10,8.0,2026-08-20
Woody Marks,HOU,RB,47,149,10,8.0,2026-08-20
Zach Charbonnet,SEA,RB,48,150,11,11.0,2026-08-20
AJ Barner,SEA,TE,21,151,11,11.0,2026-08-20
Hunter Henry,NE,TE,22,152,11,11.0,2026-08-20
Tank Bigsby,PHI,RB,49,153,11,10.0,2026-08-20
T.J. Hockenson,MIN,TE,23,154,11,6.0,2026-08-20
Jalen Nailor,LV,WR,60,155,11,13.0,2026-08-20
Dylan Sampson,CLE,RB,50,156,11,11.0,2026-08-20
Adonai Mitchell,NYJ,WR,61,157,11,13.0,2026-08-20
Terrance Ferguson,LAR,TE,24,158,11,11.0,2026-08-20
MarShawn Lloyd,GB,RB,51,159,11,11.0,2026-08-20
Oronde Gadsden II,LAC,TE,25,160,11,7.0,2026-08-20
Brian Robinson Jr.,ATL,RB,52,161,11,11.0,2026-08-20
Kenyon Sadiq,NYJ,TE,26,162,11,13.0,2026-08-20
Tre' Harris,LAC,WR,62,163,11,7.0,2026-08-20
Chris Rodriguez Jr.,JAX,RB,53,164,11,7.0,2026-08-20
Travis Hunter,JAX,WR,63,165,11,7.0,2026-08-20
Jerry Jeudy,CLE,WR,64,166,11,11.0,2026-08-20
Daniel Jones,IND,QB,24,167,11,13.0,2026-08-20
Sam Darnold,SEA,QB,25,168,11,11.0,2026-08-20
Jaylin Noel,HOU,WR,65,169,11,8.0,2026-08-20
Tyjae Spears,TEN,RB,54,170,11,9.0,2026-08-20
Germie Bernard,PIT,WR,66,171,11,9.0,2026-08-20
Dontayvion Wicks,PHI,WR,67,172,11,10.0,2026-08-20
Jalen McMillan,TB,WR,68,173,11,10.0,2026-08-20
Tre Tucker,LV,WR,69,174,11,13.0,2026-08-20
Bryce Young,CAR,QB,26,175,11,5.0,2026-08-20
Braelon Allen,NYJ,RB,55,176,11,13.0,2026-08-20
Jauan Jennings,MIN,WR,70,177,11,6.0,2026-08-20
Cade Otton,TB,TE,27,178,11,10.0,2026-08-20
Aaron Rodgers,PIT,QB,27,179,11,9.0,2026-08-20
Kayshon Boutte,NE,WR,71,180,11,11.0,2026-08-20
Gunnar Helm,TEN,TE,28,181,11,9.0,2026-08-20
Geno Smith,NYJ,QB,28,182,11,13.0,2026-08-20
Rashod Bateman,BAL,WR,72,183,12,13.0,2026-08-20
Ja'Kobi Lane,BAL,WR,73,184,12,13.0,2026-08-20
Pat Bryant,DEN,WR,74,185,12,10.0,2026-08-20
Ryan Flournoy,DAL,WR,75,186,12,14.0,2026-08-20
Ted Hurst III,TB,WR,76,187,12,10.0,2026-08-20
Mike Washington Jr.,LV,RB,56,188,12,13.0,2026-08-20
Elijah Sarratt,BAL,WR,77,189,12,13.0,2026-08-20
Mike Gesicki,CIN,TE,29,190,12,6.0,2026-08-20
Ray Davis,BUF,RB,57,191,12,7.0,2026-08-20
Chris Bell,MIA,WR,78,192,12,6.0,2026-08-20
Malik Washington,MIA,WR,79,193,12,6.0,2026-08-20
Nicholas Singleton,TEN,RB,58,194,12,9.0,2026-08-20
Pat Freiermuth,PIT,TE,30,195,12,9.0,2026-08-20
Emmett Johnson,KC,RB,59,196,12,5.0,2026-08-20
Jacoby Brissett,ARI,QB,29,197,12,14.0,2026-08-20
Calvin Ridley,TEN,WR,80,198,12,9.0,2026-08-20
Antonio Williams,WAS,WR,81,199,12,7.0,2026-08-20
Tank Dell,HOU,WR,82,200,12,8.0,2026-08-20
Darnell Mooney,NYG,WR,83,201,12,8.0,2026-08-20
Isaac TeSlaa,DET,WR,84,202,12,6.0,2026-08-20
Jaydon Blue,DAL,RB,60,203,12,14.0,2026-08-20
Isiah Pacheco,DET,RB,61,204,12,6.0,2026-08-20
David Njoku,LAC,TE,31,205,12,7.0,2026-08-20
Shedeur Sanders,CLE,QB,30,206,12,11.0,2026-08-20
Kaelon Black,SF,RB,62,207,12,8.0,2026-08-20
Fernando Mendoza,LV,QB,31,208,12,13.0,2026-08-20
Zachariah Branch,ATL,WR,85,209,12,11.0,2026-08-20
Cooper Kupp,SEA,WR,86,210,12,11.0,2026-08-20
Kaytron Allen,WAS,RB,63,211,12,7.0,2026-08-20
Malachi Fields,NYG,WR,87,212,12,8.0,2026-08-20
Tua Tagovailoa,ATL,QB,32,213,12,11.0,2026-08-20
James Conner,ARI,RB,64,214,12,14.0,2026-08-20
Houston Texans,HOU,DST,1,215,12,8.0,2026-08-20
Kimani Vidal,LAC,RB,65,216,13,7.0,2026-08-20
Bryce Lance,NO,WR,88,217,13,8.0,2026-08-20
Troy Franklin,DEN,WR,89,218,13,10.0,2026-08-20
Denver Broncos,DEN,DST,2,219,13,10.0,2026-08-20
Cyrus Allen,KC,WR,90,220,13,5.0,2026-08-20
Los Angeles Rams,LAR,DST,3,221,13,11.0,2026-08-20
Keenan Allen,IND,WR,91,222,13,13.0,2026-08-20
Caleb Douglas,MIA,WR,92,223,13,6.0,2026-08-20
Seattle Seahawks,SEA,DST,4,224,13,11.0,2026-08-20
Evan Engram,DEN,TE,32,225,13,10.0,2026-08-20
Philadelphia Eagles,PHI,DST,5,226,13,10.0,2026-08-20
Sean Tucker,TB,RB,66,227,13,10.0,2026-08-20
Michael Penix Jr.,ATL,QB,33,228,13,11.0,2026-08-20
Skyler Bell,BUF,WR,93,229,13,7.0,2026-08-20
New England Patriots,NE,DST,6,230,13,11.0,2026-08-20
Jacksonville Jaguars,JAX,DST,7,231,13,7.0,2026-08-20
Mason Taylor,NYJ,TE,33,232,13,13.0,2026-08-20
Tyquan Thornton,KC,WR,94,233,13,5.0,2026-08-20
Eli Stowers,PHI,TE,34,234,13,10.0,2026-08-20
Jaylen Wright,MIA,RB,67,235,13,6.0,2026-08-20
Demond Claiborne,MIN,RB,68,236,13,6.0,2026-08-20
Darnell Washington,PIT,TE,35,237,13,9.0,2026-08-20
Darius Slayton,NYG,WR,95,238,13,8.0,2026-08-20
Pittsburgh Steelers,PIT,DST,8,239,13,9.0,2026-08-20
Kirk Cousins,LV,QB,34,240,13,13.0,2026-08-20
Brandon Aubrey,DAL,K,1,241,13,14.0,2026-08-20
Chimere Dike,TEN,WR,96,242,13,9.0,2026-08-20
Devaughn Vele,NO,WR,97,243,13,8.0,2026-08-20
Minnesota Vikings,MIN,DST,9,244,13,6.0,2026-08-20
Keon Coleman,BUF,WR,98,245,13,7.0,2026-08-20
Ka'imi Fairbairn,HOU,K,2,246,13,8.0,2026-08-20
Jalen Tolbert,MIA,WR,99,247,13,6.0,2026-08-20
Cam Little,JAX,K,3,248,13,7.0,2026-08-20
Samaje Perine,CIN,RB,69,249,13,6.0,2026-08-20
Cameron Dicker,LAC,K,4,250,13,7.0,2026-08-20
Emanuel Wilson,SEA,RB,70,251,13,11.0,2026-08-20
Tory Horton,SEA,WR,100,252,13,11.0,2026-08-20
Evan McPherson,CIN,K,5,253,13,6.0,2026-08-20
Jordan James,SF,RB,71,254,13,8.0,2026-08-20
Elic Ayomanor,TEN,WR,101,255,13,9.0,2026-08-20
Cleveland Browns,CLE,DST,10,256,13,11.0,2026-08-20
Jason Myers,SEA,K,6,257,13,11.0,2026-08-20
Jack Bech,LV,WR,102,258,13,13.0,2026-08-20
Ollie Gordon II,MIA,RB,72,259,13,6.0,2026-08-20
Justice Hill,BAL,RB,73,260,13,13.0,2026-08-20
Eddy Pineiro,SF,K,7,261,13,8.0,2026-08-20
Kansas City Chiefs,KC,DST,11,262,13,5.0,2026-08-20
Los Angeles Chargers,LAC,DST,12,263,13,7.0,2026-08-20
Colby Parkinson,LAR,TE,36,264,13,11.0,2026-08-20
George Holani,SEA,RB,74,265,13,11.0,2026-08-20
Tyler Loop,BAL,K,8,266,13,13.0,2026-08-20
Detroit Lions,DET,DST,13,267,13,6.0,2026-08-20
Andy Borregales,NE,K,9,268,13,11.0,2026-08-20
Baltimore Ravens,BAL,DST,14,269,13,13.0,2026-08-20
Chase McLaughlin,TB,K,10,270,14,10.0,2026-08-20
Deshaun Watson,CLE,QB,35,271,14,11.0,2026-08-20
DeMario Douglas,NE,WR,103,272,14,11.0,2026-08-20
Marvin Mims Jr.,DEN,WR,104,273,14,10.0,2026-08-20
Charlie Smyth,NO,K,11,274,14,8.0,2026-08-20
Christian Kirk,SF,WR,105,275,14,8.0,2026-08-20
Cairo Santos,CHI,K,12,276,14,10.0,2026-08-20
DJ Giddens,IND,RB,75,277,14,13.0,2026-08-20
Harrison Mevis,LAR,K,13,278,14,11.0,2026-08-20
Xavier Legette,CAR,WR,106,279,14,5.0,2026-08-20
Green Bay Packers,GB,DST,15,280,14,11.0,2026-08-20
Indianapolis Colts,IND,DST,16,281,14,13.0,2026-08-20
Jahan Dotson,ATL,WR,107,282,14,11.0,2026-08-20
Jake Bates,DET,K,14,283,14,6.0,2026-08-20
Theo Johnson,NYG,TE,37,284,14,8.0,2026-08-20
New Orleans Saints,NO,DST,17,285,14,8.0,2026-08-20
Tyreek Hill,FA,WR,108,286,14,,2026-08-20
Chris Boswell,PIT,K,15,287,14,9.0,2026-08-20
Michael Mayer,LV,TE,38,288,14,13.0,2026-08-20
Andrei Iosivas,CIN,WR,109,289,14,6.0,2026-08-20
Wil Lutz,DEN,K,16,290,14,10.0,2026-08-20
Brenen Thompson,LAC,WR,110,291,14,7.0,2026-08-20
Charlie Kolar,LAC,TE,39,292,14,7.0,2026-08-20
Buffalo Bills,BUF,DST,18,293,14,7.0,2026-08-20
Joshua Palmer,BUF,WR,111,294,14,7.0,2026-08-20
Brandon Aiyuk,SF,WR,112,295,14,8.0,2026-08-20
Seth McGowan,IND,RB,76,296,14,13.0,2026-08-20
Darren Waller,CAR,TE,40,297,14,5.0,2026-08-20
Jake Tonges,SF,TE,41,298,14,8.0,2026-08-20
Ty Johnson,BUF,RB,77,299,14,7.0,2026-08-20
Harrison Butker,KC,K,17,300,14,5.0,2026-08-20
Hollywood Brown,PHI,WR,113,301,14,10.0,2026-08-20
Chris Brooks,GB,RB,78,302,14,11.0,2026-08-20
Eli Raridon,NE,TE,42,303,14,11.0,2026-08-20
Kevin Coleman Jr.,MIA,WR,114,304,14,6.0,2026-08-20
Kendrick Bourne,ARI,WR,115,305,14,14.0,2026-08-20
Justin Fields,KC,QB,36,306,14,5.0,2026-08-20
Malik Davis,DAL,RB,79,307,14,14.0,2026-08-20
Adam Randall,BAL,RB,80,308,14,13.0,2026-08-20
Elijah Arroyo,SEA,TE,43,309,14,11.0,2026-08-20
Erick All Jr.,CIN,TE,44,310,14,6.0,2026-08-20
LeQuint Allen Jr.,JAX,RB,81,311,14,7.0,2026-08-20
Tutu Atwell,MIA,WR,116,312,14,6.0,2026-08-20
Atlanta Falcons,ATL,DST,19,313,14,11.0,2026-08-20
Xavier Hutchinson,HOU,WR,117,314,14,8.0,2026-08-20
Kyle Williams,NE,WR,118,315,15,11.0,2026-08-20
Zane Gonzalez,FA,K,18,316,15,,2026-08-20
Olamide Zaccheaus,ATL,WR,119,317,15,11.0,2026-08-20
Kaleb Johnson,PIT,RB,82,318,15,9.0,2026-08-20
Devin Singletary,NYG,RB,83,319,15,8.0,2026-08-20
Zavion Thomas,CHI,WR,120,320,15,10.0,2026-08-20
Kalif Raymond,CHI,WR,121,321,15,10.0,2026-08-20
Trey Benson,ARI,RB,84,322,15,14.0,2026-08-20
Nick Westbrook-Ikhine,IND,WR,122,323,15,13.0,2026-08-20
J.J. McCarthy,MIN,QB,37,324,15,6.0,2026-08-20
Mack Hollins,NE,WR,123,325,15,11.0,2026-08-20
KaVontae Turpin,DAL,WR,124,326,15,14.0,2026-08-20
Brashard Smith,KC,RB,85,327,15,5.0,2026-08-20
Isaiah Davis,NYJ,RB,86,328,15,13.0,2026-08-20
Tez Johnson,TB,WR,125,329,15,10.0,2026-08-20
Treylon Burks,WAS,WR,126,330,15,7.0,2026-08-20
CJ Daniels,LAR,WR,127,331,15,11.0,2026-08-20
Konata Mumpfield,LAR,WR,128,332,15,11.0,2026-08-20
Savion Williams,GB,WR,129,333,15,11.0,2026-08-20
Roman Wilson,PIT,WR,130,334,15,9.0,2026-08-20
Cincinnati Bengals,CIN,DST,20,335,15,6.0,2026-08-20
Dallas Cowboys,DAL,DST,21,336,15,14.0,2026-08-20
Emari Demercado,KC,RB,87,337,15,5.0,2026-08-20
Ja'Tavion Sanders,CAR,TE,45,338,15,5.0,2026-08-20
Tyler Higbee,LAR,TE,46,339,15,11.0,2026-08-20
Isaiah Bond,CLE,WR,131,340,15,11.0,2026-08-20
Malik Benson,LV,WR,132,341,15,13.0,2026-08-20
Max Klare,LAR,TE,47,342,15,11.0,2026-08-20
Tahj Brooks,CIN,RB,88,343,15,6.0,2026-08-20
Cedric Tillman,CLE,WR,133,344,15,11.0,2026-08-20
Mac Jones,SF,QB,38,345,15,8.0,2026-08-20
Cole Kmet,CHI,TE,48,346,15,10.0,2026-08-20
Devin Neal,NO,RB,89,347,15,8.0,2026-08-20
Demarcus Robinson,SF,WR,134,348,15,8.0,2026-08-20
Carson Beck,ARI,QB,39,349,15,14.0,2026-08-20
Jordan Whittington,LAR,WR,135,350,15,11.0,2026-08-20
John Metchie III,CAR,WR,136,351,15,5.0,2026-08-20
Dawson Knox,BUF,TE,49,352,15,7.0,2026-08-20
Noah Gray,KC,TE,50,353,15,5.0,2026-08-20
Mitch Tinsley,CIN,WR,137,354,15,6.0,2026-08-20
Colbie Young,CIN,WR,138,355,15,6.0,2026-08-20
Luke McCaffrey,WAS,WR,139,356,15,7.0,2026-08-20
Najee Harris,NYG,RB,90,357,15,8.0,2026-08-20
Trevor Etienne,CAR,RB,91,358,15,5.0,2026-08-20
Miami Dolphins,MIA,DST,22,359,15,6.0,2026-08-20
Greg Dortch,DET,WR,140,360,15,6.0,2026-08-20
Dont'e Thornton Jr.,LV,WR,141,361,15,13.0,2026-08-20
Deion Burks,IND,WR,142,362,15,13.0,2026-08-20
Calvin Austin III,NYG,WR,143,363,15,8.0,2026-08-20
Jonnu Smith,FA,TE,51,364,15,,2026-08-20
Jawhar Jordan,HOU,RB,92,365,15,8.0,2026-08-20
Jarquez Hunter,LAR,RB,93,366,15,11.0,2026-08-20
Marcus Mariota,WAS,QB,40,367,15,7.0,2026-08-20
Justin Joly,DEN,TE,52,368,15,10.0,2026-08-20
Roschon Johnson,CHI,RB,94,369,16,10.0,2026-08-20
Will Shipley,PHI,RB,95,370,16,10.0,2026-08-20
Carolina Panthers,CAR,DST,23,371,16,5.0,2026-08-20
Anthony Richardson Sr.,IND,QB,41,372,16,13.0,2026-08-20
Zach Ertz,FA,TE,53,373,16,,2026-08-20
Eli Heidenreich,PIT,RB,96,374,16,9.0,2026-08-20
Reggie Virgil,ARI,WR,144,375,16,14.0,2026-08-20
Kendre Miller,NO,RB,97,376,16,8.0,2026-08-20
Isaac Guerendo,SF,RB,98,377,16,8.0,2026-08-20
Odell Beckham Jr.,NYG,WR,145,378,16,8.0,2026-08-20
Jerome Ford,WAS,RB,99,379,16,7.0,2026-08-20
Austin Hooper,ATL,TE,54,380,16,11.0,2026-08-20
Mitchell Evans,CAR,TE,55,381,16,5.0,2026-08-20
Barion Brown,NO,WR,146,382,16,8.0,2026-08-20
Elijah Higgins,ARI,TE,56,383,16,14.0,2026-08-20
Chris Brazzell II,CAR,WR,147,384,16,5.0,2026-08-20
Jameis Winston,NYG,QB,42,385,16,8.0,2026-08-20
Joe Flacco,CIN,QB,43,386,16,6.0,2026-08-20
Jahdae Walker,CHI,WR,148,387,16,10.0,2026-08-20
J'Mari Taylor,JAX,RB,100,388,16,7.0,2026-08-20
Devontez Walker,BAL,WR,149,389,16,13.0,2026-08-20
Darius Cooper,PHI,WR,150,390,16,10.0,2026-08-20
Jackson Hawes,BUF,TE,57,391,16,7.0,2026-08-20
Josh Cameron,JAX,WR,151,392,16,7.0,2026-08-20
Oscar Delp,NO,TE,58,393,16,8.0,2026-08-20
Marlin Klein,HOU,TE,59,394,16,8.0,2026-08-20
Cade Klubnik,NYJ,QB,44,395,16,13.0,2026-08-20
Kyle Allen,BUF,QB,45,396,16,7.0,2026-08-20
Luke Schoonmaker,DAL,TE,60,397,16,14.0,2026-08-20
Dillon Gabriel,CLE,QB,46,398,16,11.0,2026-08-20
Kendrick Law,DET,WR,152,399,16,6.0,2026-08-20
Raheim Sanders,CLE,RB,101,400,16,11.0,2026-08-20
Joe Mixon,FA,RB,102,401,16,,2026-08-20
Elijah Moore,PHI,WR,153,402,16,10.0,2026-08-20
Ben Sinnott,WAS,TE,61,403,16,7.0,2026-08-20
Isaiah Williams,NYJ,WR,154,404,16,13.0,2026-08-20
Durham Smythe,BAL,TE,62,405,16,13.0,2026-08-20
Khalil Herbert,FA,RB,103,406,16,,2026-08-20
Haynes King,CAR,QB,47,407,16,5.0,2026-08-20
Daniel Bellinger,TEN,TE,63,408,16,9.0,2026-08-20
Jimmy Horn Jr.,CAR,WR,155,409,16,5.0,2026-08-20
Nick Chubb,FA,RB,104,410,16,,2026-08-20
Luke Musgrave,GB,TE,64,411,16,11.0,2026-08-20
Tommy Tremble,CAR,TE,65,412,16,5.0,2026-08-20
Phil Mafah,DAL,RB,105,413,16,14.0,2026-08-20
Sione Vaki,DET,RB,106,414,16,6.0,2026-08-20
Taysom Hill,FA,TE,66,415,16,,2026-08-20
Rasheen Ali,BAL,RB,107,416,16,13.0,2026-08-20
Jack Strand,ATL,QB,48,417,16,11.0,2026-08-20
Jam Miller,NE,RB,108,418,16,11.0,2026-08-20
Tyler Conklin,DET,TE,67,419,16,6.0,2026-08-20
Quinn Ewers,MIA,QB,49,420,16,6.0,2026-08-20
Jalen Royals,KC,WR,156,421,16,5.0,2026-08-20
Noah Fant,NO,TE,68,422,16,8.0,2026-08-20
Jaylin Lane,WAS,WR,157,423,16,7.0,2026-08-20
Sam Roush,CHI,TE,69,424,16,10.0,2026-08-20
Matt Hibner,BAL,TE,70,425,16,13.0,2026-08-20
Michael Carter,TEN,RB,109,426,16,9.0,2026-08-20
Cade Stover,HOU,TE,71,427,16,8.0,2026-08-20
Zavier Scott,MIN,RB,110,428,16,6.0,2026-08-20
