asset_type,name,position,value,source_league_type,source_scoring,source_date
player,Rico Dowdle,RB,13,Dynasty,PPR,2026-08-20
player,Braelon Allen,RB,12,Dynasty,PPR,2026-08-20
player,J.K. Dobbins,RB,9,Dynasty,PPR,2026-08-20
player,Tyrone Tracy Jr.,RB,8,Dynasty,PPR,2026-08-20
player,Aaron Jones,RB,8,Dynasty,PPR,2026-08-20
player,Rachaad White,RB,7,Dynasty,PPR,2026-08-20
player,MarShawn Lloyd,RB,7,Dynasty,PPR,2026-08-20
player,Ja'Marr Chase,WR,100,Dynasty,PPR,2026-08-20
player,Jaxon Smith-Njigba,WR,97,Dynasty,PPR,2026-08-20
player,Puka Nacua,WR,94,Dynasty,PPR,2026-08-20
player,Amon-Ra St. Brown,WR,83,Dynasty,PPR,2026-08-20
player,CeeDee Lamb,WR,82,Dynasty,PPR,2026-08-20
player,Justin Jefferson,WR,82,Dynasty,PPR,2026-08-20
player,Malik Nabers,WR,81,Dynasty,PPR,2026-08-20
player,Drake London,WR,74,Dynasty,PPR,2026-08-20
player,Nico Collins,WR,68,Dynasty,PPR,2026-08-20
player,Tetairoa McMillan,WR,57,Dynasty,PPR,2026-08-20
player,George Pickens,WR,53,Dynasty,PPR,2026-08-20
player,Chris Olave,WR,52,Dynasty,PPR,2026-08-20
player,Emeka Egbuka,WR,51,Dynasty,PPR,2026-08-20
player,Zay Flowers,WR,49,Dynasty,PPR,2026-08-20
player,Garrett Wilson,WR,42,Dynasty,PPR,2026-08-20
player,Ladd McConkey,WR,41,Dynasty,PPR,2026-08-20
player,Rashee Rice,WR,41,Dynasty,PPR,2026-08-20
player,Tee Higgins,WR,40,Dynasty,PPR,2026-08-20
player,Carnell Tate,WR,40,Dynasty,PPR,2026-08-20
player,DeVonta Smith,WR,37,Dynasty,PPR,2026-08-20
player,Luther Burden III,WR,37,Dynasty,PPR,2026-08-20
player,A.J. Brown,WR,37,Dynasty,PPR,2026-08-20
player,Jaylen Waddle,WR,36,Dynasty,PPR,2026-08-20
player,Jameson Williams,WR,36,Dynasty,PPR,2026-08-20
player,Makai Lemon,WR,36,Dynasty,PPR,2026-08-20
player,Jordyn Tyson,WR,33,Dynasty,PPR,2026-08-20
player,Rome Odunze,WR,32,Dynasty,PPR,2026-08-20
player,Christian Watson,WR,27,Dynasty,PPR,2026-08-20
player,KC Concepcion,WR,25,Dynasty,PPR,2026-08-20
player,Terry McLaurin,WR,24,Dynasty,PPR,2026-08-20
player,Brian Thomas Jr.,WR,24,Dynasty,PPR,2026-08-20
player,Jordan Addison,WR,23,Dynasty,PPR,2026-08-20
player,Parker Washington,WR,22,Dynasty,PPR,2026-08-20
player,Marvin Harrison Jr.,WR,22,Dynasty,PPR,2026-08-20
player,D.J. Moore,WR,22,Dynasty,PPR,2026-08-20
player,D.K. Metcalf,WR,22,Dynasty,PPR,2026-08-20
player,Michael Wilson,WR,22,Dynasty,PPR,2026-08-20
player,Davante Adams,WR,21,Dynasty,PPR,2026-08-20
player,Michael Pittman Jr.,WR,21,Dynasty,PPR,2026-08-20
player,Xavier Worthy,WR,21,Dynasty,PPR,2026-08-20
player,Denzel Boston,WR,21,Dynasty,PPR,2026-08-20
player,Mike Evans,WR,21,Dynasty,PPR,2026-08-20
player,Courtland Sutton,WR,20,Dynasty,PPR,2026-08-20
player,Alec Pierce,WR,20,Dynasty,PPR,2026-08-20
player,Wan'Dale Robinson,WR,20,Dynasty,PPR,2026-08-20
player,Khalil Shakir,WR,20,Dynasty,PPR,2026-08-20
player,Matthew Golden,WR,18,Dynasty,PPR,2026-08-20
player,De'Zhaun Stribling,WR,18,Dynasty,PPR,2026-08-20
player,Brock Bowers,TE,64,Dynasty,PPR,2026-08-20
player,Trey McBride,TE,60,Dynasty,PPR,2026-08-20
player,Colston Loveland,TE,50,Dynasty,PPR,2026-08-20
player,Tyler Warren,TE,33,Dynasty,PPR,2026-08-20
player,Harold Fannin Jr.,TE,33,Dynasty,PPR,2026-08-20
player,Tucker Kraft,TE,28,Dynasty,PPR,2026-08-20
player,Kyle Pitts,TE,23,Dynasty,PPR,2026-08-20
player,Sam LaPorta,TE,20,Dynasty,PPR,2026-08-20
player,Kenyon Sadiq,TE,20,Dynasty,PPR,2026-08-20
player,Dalton Kincaid,TE,15,Dynasty,PPR,2026-08-20
player,Oronde Gadsden II,TE,14,Dynasty,PPR,2026-08-20
player,Jake Ferguson,TE,14,Dynasty,PPR,2026-08-20
player,Eli Stowers,TE,13,Dynasty,PPR,2026-08-20
player,George Kittle,TE,12,Dynasty,PPR,2026-08-20
player,Isaiah Likely,TE,11,Dynasty,PPR,2026-08-20
player,Brenton Strange,TE,10,Dynasty,PPR,2026-08-20
player,Juwan Johnson,TE,9,Dynasty,PPR,2026-08-20
player,Dallas Goedert,TE,9,Dynasty,PPR,2026-08-20
player,Mark Andrews,TE,9,Dynasty,PPR,2026-08-20
player,Terrance Ferguson,TE,9,Dynasty,PPR,2026-08-20
player,Elijah Arroyo,TE,8,Dynasty,PPR,2026-08-20
player,Travis Kelce,TE,8,Dynasty,PPR,2026-08-20
player,Hunter Henry,TE,8,Dynasty,PPR,2026-08-20
player,AJ Barner,TE,8,Dynasty,PPR,2026-08-20
player,Chigoziem Okonkwo,TE,7,Dynasty,PPR,2026-08-20
player,Michael Mayer,TE,7,Dynasty,PPR,2026-08-20
player,Gunnar Helm,TE,7,Dynasty,PPR,2026-08-20
player,Pat Freiermuth,TE,7,Dynasty,PPR,2026-08-20
player,Dalton Schultz,TE,6,Dynasty,PPR,2026-08-20
player,Cade Otton,TE,5,Dynasty,PPR,2026-08-20
player,T.J. Hockenson,TE,5,Dynasty,PPR,2026-08-20
player,David Njoku,TE,4,Dynasty,PPR,2026-08-20
player,Theo Johnson,TE,2,Dynasty,PPR,2026-08-20
