name,team,position,rank,trade_value,source_date
Q Lake,LAR,DB,43.0,10.0,2026-08-19
N Emmanwori,SEA,DB,44.0,10.0,2026-08-19
D Henley,LAC,LB,45.0,9.0,2026-08-19
N Bolton,KC,LB,46.0,9.0,2026-08-19
B Chubb,BUF,DL,47.0,9.0,2026-08-19
N Cross,WAS,DB,48.0,8.0,2026-08-19
N Bosa,SF,DL,49.0,8.0,2026-08-19
D James,LAC,DB,50.0,8.0,2026-08-19
J Phillips,CAR,DL,51.0,7.0,2026-08-19
J Bates,ATL,DB,52.0,7.0,2026-08-19
M Sweat,CHI,DL,53.0,6.0,2026-08-19
T Moehrig,CAR,DB,54.0,6.0,2026-08-19
N Landman,LAR,LB,55.0,6.0,2026-08-19
D Witherspoon,SEA,DB,56.0,5.0,2026-08-19
T Hufanga,DEN,DB,57.0,5.0,2026-08-19
T Hendrickson,BAL,DL,58.0,5.0,2026-08-19
C DeJean,PHI,DB,59.0,5.0,2026-08-19
R Moss,DEN,DB,60.0,5.0,2026-08-19
H Landry,NE,DL,61.0,5.0,2026-08-19
T Edmunds,NYG,LB,62.0,4.0,2026-08-19
K Byard,NE,DB,63.0,4.0,2026-08-19
A Singleton,DEN,LB,64.0,4.0,2026-08-19
J Battle,CIN,DB,65.0,3.0,2026-08-19
Y Diaby,TB,DL,66.0,3.0,2026-08-19
L Williams,SEA,DL,67.0,2.0,2026-08-19
J Metellus,MIN,DB,68.0,2.0,2026-08-19
G Rousseau,BUF,DL,69.0,1.0,2026-08-19
K Winston Jr.,TEN,DB,70.0,1.0,2026-08-19
T Bernard,BUF,LB,71.0,1.0,2026-08-19
B Jones,DEN,DB,,,2026-08-19
A Carter,NYG,DL,,,2026-08-19
E Williams,GB,DB,,,2026-08-19
J Reid,NO,DB,,,2026-08-19
B Baker,ARI,DB,,,2026-08-19
D Buckner,IND,DL,,,2026-08-19
C Allen,IND,LB,,,2026-08-19
K Lassiter,HOU,DB,,,2026-08-19
L Latu,IND,DL,,,2026-08-19
Q Williams,DAL,DL,,,2026-08-19
J Greenard,PHI,DL,,,2026-08-19
J Thompson,DAL,DB,,,2026-08-19
D Hill,CIN,DB,,,2026-08-19
E Wilson,MIN,LB,,,2026-08-19
K Turner,LAR,DL,,,2026-08-19
R Blankenship,HOU,DB,,,2026-08-19
C Bishop,BUF,DB,,,2026-08-19
D Turner,MIN,DL,,,2026-08-19
J Carter,PHI,DL,,,2026-08-19
J Sweat,ARI,DL,,,2026-08-19
A Taylor,TEN,DB,,,2026-08-19
D Brown,CAR,DL,,,2026-08-19
J Pitre,HOU,DB,,,2026-08-19
X Watts,ATL,DB,,,2026-08-19
D Bland,DAL,DB,,,2026-08-19
A Gilman,KC,DB,,,2026-08-19
J Redmond,MIN,DL,,,2026-08-19
T Nubin,NYG,DB,,,2026-08-19
C Downs,DAL,DB,,,2026-08-19
K Elliss,NO,LB,,,2026-08-19
D Davis,NYJ,LB,,,2026-08-19
T McDuffie,LAR,DB,,,2026-08-19
E Oliver,BUF,DL,,,2026-08-19
Z Sieler,MIA,DL,,,2026-08-19
D Reed,DET,DB,,,2026-08-19
J Johnson,TEN,DL,,,2026-08-19
C Granderson,NO,DL,,,2026-08-19
S Revel Jr.,DAL,DB,,,2026-08-19
G Karlaftis,KC,DL,,,2026-08-19
T Campbell,CLE,DB,,,2026-08-19
M Moore,NYJ,DB,,,2026-08-19
I Pola-Mao,LV,DB,,,2026-08-19
T Walker,JAX,DL,,,2026-08-19
R Green,SF,DB,,,2026-08-19
A Hooker,TEN,DB,,,2026-08-19
D Greenlaw,SF,LB,,,2026-08-19
K Kinchens,LAR,DB,,,2026-08-19
J Ramsey,PIT,DB,,,2026-08-19
M Parsons,GB,DL,,,2026-08-19
B Carter,CIN,LB,,,2026-08-19
M Brown,JAX,DB,,,2026-08-19
N Madubuike,BAL,DL,,,2026-08-19
P Queen,PIT,LB,,,2026-08-19
J Campbell,PHI,LB,,,2026-08-19
M Humphrey,BAL,DB,,,2026-08-19
A Al-Shaair,HOU,LB,,,2026-08-19
D Trader Jr.,MIA,DB,,,2026-08-19
D Tranquill,KC,LB,,,2026-08-19
T Johnson,LV,DB,,,2026-08-19
C Gardner-Johnson,BUF,DB,,,2026-08-19
Z McCollum,TB,DB,,,2026-08-19
K Nixon,GB,DB,,,2026-08-19
N Scott,CAR,DB,,,2026-08-19
T Okada,SEA,DB,,,2026-08-19
C Ward,IND,DB,,,2026-08-19
E Murray,JAX,DB,,,2026-08-19
O Oweh,WAS,DL,,,2026-08-19
B Cook,CIN,DB,,,2026-08-19
B Murphy II,SEA,DL,,,2026-08-19
M Mustapha,SF,DB,,,2026-08-19
C Heyward,PIT,DL,,,2026-08-19
L Van Ness,GB,DL,,,2026-08-19
J Hunt,PHI,DL,,,2026-08-19
R Gary,DAL,DL,,,2026-08-19
M Green,BAL,DL,,,2026-08-19
D Deablo,ATL,LB,,,2026-08-19
M Jackson,CAR,DB,,,2026-08-19
C Gonzalez,NE,DB,,,2026-08-19
M Sainristil,WAS,DB,,,2026-08-19
B Mafe,CIN,DL,,,2026-08-19
Q Williams,CLE,LB,,,2026-08-19
D Armstrong,WAS,DL,,,2026-08-19
J Cooper,DEN,DL,,,2026-08-19
D Jones,NE,DL,,,2026-08-19
C Barmore,NE,DL,,,2026-08-19
T Togiai,HOU,DL,,,2026-08-19
N Williams,KC,DB,,,2026-08-19
J Dean,PIT,DB,,,2026-08-19
A Johnson,JAX,DB,,,2026-08-19
M Hoecht,BUF,DL,,,2026-08-19
J Porter Jr.,PIT,DB,,,2026-08-19
D Wyatt,GB,DL,,,2026-08-19
N Herbig,PIT,DL,,,2026-08-19
J Sanker,NO,DB,,,2026-08-19
Z Franklin,GB,LB,,,2026-08-19
D Lawrence,CIN,DL,,,2026-08-19
C Elliss,NE,LB,,,2026-08-19
B Stephens,NYJ,DB,,,2026-08-19
M Jones,NE,DB,,,2026-08-19
D Lawrence,SEA,DL,,,2026-08-19
Z Allen,DEN,DL,,,2026-08-19
J Davis,PHI,DL,,,2026-08-19
K McKinstry,NO,DB,,,2026-08-19
J Ossai,NYJ,DL,,,2026-08-19
A Anzalone,TB,LB,,,2026-08-19
I Rodgers,MIN,DB,,,2026-08-19
G Dexter,CHI,DL,,,2026-08-19
J Martin,WAS,DB,,,2026-08-19
N Smith,PHI,DL,,,2026-08-19
J Brown,SF,DB,,,2026-08-19
K Paye,LV,DL,,,2026-08-19
C Bynum,IND,DB,,,2026-08-19
G Williams,ARI,DB,,,2026-08-19
W McDonald,NYJ,DL,,,2026-08-19
M Williams,NE,DL,,,2026-08-19
A Haulcy,IND,DB,,,2026-08-19
B Fiske,LAR,DL,,,2026-08-19
Z Harrison,ATL,DL,,,2026-08-19
D Payne,WAS,DL,,,2026-08-19
K Thibodeaux,NYG,DL,,,2026-08-19
K Moore,FA,DB,,,2026-08-19
C Kancey,TB,DL,,,2026-08-19
F Luvu,WAS,LB,,,2026-08-19
K Mack,LAC,DL,,,2026-08-19
C Benford,BUF,DB,,,2026-08-19
J Hawkins,BAL,DB,,,2026-08-19
B Murphy,MIN,DB,,,2026-08-19
A Butler,LV,DL,,,2026-08-19
B Branch,DET,DB,,,2026-08-19
G Stewart,IND,DL,,,2026-08-19
R Hickman,CLE,DB,,,2026-08-19
J Allen,CIN,DL,,,2026-08-19
R Bain Jr.,TB,DL,,,2026-08-19
D Lenoir,SF,DB,,,2026-08-19
J Parrish,TB,DB,,,2026-08-19
V Vea,TB,DL,,,2026-08-19
A Wright,CLE,DL,,,2026-08-19
C Jones,KC,DL,,,2026-08-19
U Stout,SF,DB,,,2026-08-19
C Davis,NE,DB,,,2026-08-19
J Franklin-Myers,TEN,DL,,,2026-08-19
A Reese,NYG,LB,,,2026-08-19
N Wiggins,BAL,DB,,,2026-08-19
E Forbes,LAR,DB,,,2026-08-19
B Dorlus,ATL,DL,,,2026-08-19
M Graham,CLE,DL,,,2026-08-19
A Booker,CHI,DL,,,2026-08-19
A Phillips,NYG,DB,,,2026-08-19
D Harmon,PIT,DL,,,2026-08-19
H Phillips,NYJ,DL,,,2026-08-19
D Knight Jr.,CIN,LB,,,2026-08-19
M Starks,BAL,DB,,,2026-08-19
M Melton,ARI,DB,,,2026-08-19
D Onyemata,NYJ,DL,,,2026-08-19
C Woodson,NE,DB,,,2026-08-19
D Winters,DAL,LB,,,2026-08-19
K Gordon,CHI,DB,,,2026-08-19
A Terrell,ATL,DB,,,2026-08-19
K Joseph,DET,DB,,,2026-08-19
M Hairston,BUF,DB,,,2026-08-19
U Nwosu,SEA,DL,,,2026-08-19
H To'oto'o,HOU,LB,,,2026-08-19
T Still,LAC,DB,,,2026-08-19
A Gardner,IND,DB,,,2026-08-19
J Horn,CAR,DB,,,2026-08-19
A Key,IND,DL,,,2026-08-19
G Stone,BUF,DB,,,2026-08-19
B Hill,CIN,DL,,,2026-08-19
P Surtain II,DEN,DB,,,2026-08-19
A Mesidor,LAC,DL,,,2026-08-19
J Bullard,GB,DB,,,2026-08-19
J Holland,NYG,DB,,,2026-08-19
M Murphy,CIN,DL,,,2026-08-19
T Wharton,CAR,DL,,,2026-08-19
K Brooks,GB,DL,,,2026-08-19
O Odighizuwa,SF,DL,,,2026-08-19
M Collins,CLE,DL,,,2026-08-19
M Delane,KC,DB,,,2026-08-19
T Jones,BAL,DL,,,2026-08-19
D Odeyingbo,CHI,DL,,,2026-08-19
D Turner II,CIN,DB,,,2026-08-19
A Mukuba,PHI,DB,,,2026-08-19
J Briggs,NYJ,DL,,,2026-08-19
D Stingley,HOU,DB,,,2026-08-19
J Newton,WAS,DL,,,2026-08-19
J Hargrave,GB,DL,,,2026-08-19
A McNeill,DET,DL,,,2026-08-19
M Ojomo,PHI,DL,,,2026-08-19
X Woods,TEN,DB,,,2026-08-19
V Miller,JAX,LB,,,2026-08-19
J Rodriguez,MIA,LB,,,2026-08-19
T Woolen,PHI,DB,,,2026-08-19
J Stewart,LAR,DL,,,2026-08-19
C Hood,NYG,DB,,,2026-08-19
A Gillotte,KC,DL,,,2026-08-19
D Ward,CLE,DB,,,2026-08-19
A Terrell,ATL,DB,,,2026-08-19
G Jacas,NE,DL,,,2026-08-19
D Ponds,NYJ,DB,,,2026-08-19
E Molden,LAC,DB,,,2026-08-19
C Bullock,HOU,DB,,,2026-08-19
W Johnson,ARI,DB,,,2026-08-19
K Enagbare,NYJ,DL,,,2026-08-19
B Morrison,TB,DB,,,2026-08-19
J Brownlee Jr.,NYJ,DB,,,2026-08-19
Q Mitchell,PHI,DB,,,2026-08-19
P Jones II,CAR,DL,,,2026-08-19
G Jarrett,CHI,DL,,,2026-08-19
M Wilson,ARI,LB,,,2026-08-19
C Robinson,MIA,DL,,,2026-08-19
D Thieneman,CHI,DB,,,2026-08-19
D Hall,SEA,DL,,,2026-08-19
M Williams,SF,DL,,,2026-08-19
A Wingard,ARI,DB,,,2026-08-19
W Nolen,ARI,DL,,,2026-08-19
C Flott,TEN,DB,,,2026-08-19
J Brisker,PIT,DB,,,2026-08-19
T Sweat,NYJ,DL,,,2026-08-19
Z Collins,ARI,DL,,,2026-08-19
P Umanmielen,CAR,DL,,,2026-08-19
B Bowman,ATL,DB,,,2026-08-19
C Johnson,MIA,DB,,,2026-08-19
C Simon,ARI,LB,,,2026-08-19
J McMillian,DEN,DB,,,2026-08-19
E McNeil-Warren,CLE,DB,,,2026-08-19
C Wooden,IND,DL,,,2026-08-19
A Nelson,TB,DL,,,2026-08-19
T Wallace,CAR,LB,,,2026-08-19
J Reed,SEA,DL,,,2026-08-19
K Grant,MIA,DL,,,2026-08-19
T Parker,BUF,DL,,,2026-08-19
S Styles,WAS,LB,,,2026-08-19
K Clark,DAL,DL,,,2026-08-19
D Godchaux,NO,DL,,,2026-08-19
D Walker,BUF,DL,,,2026-08-19
Z Young,BAL,DL,,,2026-08-19
T Dodson,MIA,LB,,,2026-08-19
K Crawford,LV,DL,,,2026-08-19
M Lawrence,DAL,DL,,,2026-08-19
A Armstead,JAX,DL,,,2026-08-19
J Johnson,CHI,DB,,,2026-08-19
J Kinlaw,WAS,DL,,,2026-08-19
D Thomas,SEA,LB,,,2026-08-19
J Elliss,DEN,DL,,,2026-08-19
J Strnad,DEN,LB,,,2026-08-19
A Robinson,TB,DL,,,2026-08-19
K Elarms-Orr,BUF,LB,,,2026-08-19
A Robertson,WAS,DB,,,2026-08-19
T Tart,LAC,DL,,,2026-08-19
L Hall,HOU,DL,,,2026-08-19
G Newsome,NYG,DB,,,2026-08-19
T Sanders,BUF,DL,,,2026-08-19
N Wright,NYJ,DB,,,2026-08-19
J Sawyer,PIT,DL,,,2026-08-19
E Stokes,LV,DB,,,2026-08-19
M McFadden,NYG,LB,,,2026-08-19
J Martin,TEN,DL,,,2026-08-19
S Okuayinonu,SF,DL,,,2026-08-19
D Wonnum,DET,DL,,,2026-08-19
J Pearce,ATL,DL,,,2026-08-19
J Tuimoloau,IND,DL,,,2026-08-19
C Hart,LAC,DB,,,2026-08-19
J Burch,ARI,DL,,,2026-08-19
B Browning,ARI,DL,,,2026-08-19
A Adebawore,IND,DL,,,2026-08-19
J Lewis,JAX,DB,,,2026-08-19
T Stevenson,CHI,DB,,,2026-08-19
P Woods,KC,DL,,,2026-08-19
C Howell,CIN,DL,,,2026-08-19
M Hooker,DAL,DB,,,2026-08-19
C Barton,TEN,LB,,,2026-08-19
C Awuzie,BAL,DB,,,2026-08-19
S Stewart,CIN,DL,,,2026-08-19
D Barnes,DET,LB,,,2026-08-19
P Wilson,PIT,LB,,,2026-08-19
B Clark,SEA,DB,,,2026-08-19
T Slaton,CIN,DL,,,2026-08-19
D Ojabo,MIA,DL,,,2026-08-19
J Jones,JAX,DB,,,2026-08-19
D Dennis-Sutton,GB,DL,,,2026-08-19
T Jackson,MIN,DB,,,2026-08-19
C Miller,NO,DL,,,2026-08-19
R Thomas,KC,DL,,,2026-08-19
N Hobbs,SF,DB,,,2026-08-19
G Smith,LAC,DB,,,2026-08-19
O Speights,LAR,LB,,,2026-08-19
B Cisse,GB,DB,,,2026-08-19
R Height,SF,DL,,,2026-08-19
D Carter,BUF,DL,,,2026-08-19
K White,SF,DL,,,2026-08-19
I McDuffie,GB,LB,,,2026-08-19
K Faulk,TEN,DL,,,2026-08-19
T Williams,DET,DL,,,2026-08-19
J Barham,DAL,DL,,,2026-08-19
A Collins,SF,DL,,,2026-08-19
D Taylor-Demerson,ARI,DB,,,2026-08-19
T Amos,WAS,DB,,,2026-08-19
Q Riley,NO,DB,,,2026-08-19
Y Black,PIT,DL,,,2026-08-19
D Perryman,LAC,LB,,,2026-08-19
M Danna,BUF,DL,,,2026-08-19
W Williams,JAX,DL,,,2026-08-19
L Hunter,CAR,DL,,,2026-08-19
C Rozeboom,TB,LB,,,2026-08-19
K McDonald,HOU,DL,,,2026-08-19
A Regis,JAX,DL,,,2026-08-19
R Orhorhoro,JAX,DL,,,2026-08-19
C Valentine,GB,DB,,,2026-08-19
D Bailey,NYJ,LB,,,2026-08-19
J Barron,DEN,DB,,,2026-08-19
L Jackson,BUF,DL,,,2026-08-19
T Buchanan,BAL,LB,,,2026-08-19
D Ezeiruaku,DAL,LB,,,2026-08-19
D Stutsman,NO,LB,,,2026-08-19
P Werner,NO,LB,,,2026-08-19
J Josephs,WAS,DL,,,2026-08-19
D Williams,BUF,LB,,,2026-08-19
C Harris,ATL,LB,,,2026-08-19
C Banks,MIN,DL,,,2026-08-19
A Hill Jr.,TEN,LB,,,2026-08-19
B Boettcher,IND,LB,,,2026-08-19
D Jackson,LAC,DB,,,2026-08-19
A Samuel Jr.,PIT,DB,,,2026-08-19
M Harrison,PIT,LB,,,2026-08-19
L Overton,DAL,DL,,,2026-08-19
J McCoy,LV,DB,,,2026-08-19
S Ebukam,ATL,DL,,,2026-08-19
C Omenihu,WAS,DL,,,2026-08-19
K Daniels,ATL,LB,,,2026-08-19
T Robinson,BAL,LB,,,2026-08-19
K Chaisson,WAS,LB,,,2026-08-19
A Davis-Gaither,IND,LB,,,2026-08-19
J Trotter,TB,LB,,,2026-08-19
W Woodaz,HOU,LB,,,2026-08-19
J Golday,MIN,LB,,,2026-08-19
D Walker,TB,LB,,,2026-08-19
O Oladejo,TEN,LB,,,2026-08-19
F Mauigoa,NYJ,LB,,,2026-08-19
T Andersen,ATL,LB,,,2026-08-19
T Moore,MIA,LB,,,2026-08-19
K Louis,MIA,LB,,,2026-08-19
B Ojulari,ARI,LB,,,2026-08-19
S Dennis,TB,LB,,,2026-08-19
J Jefferson,CLE,LB,421.0,0.0,2026-08-19
H Perkins Jr.,ATL,LB,422.0,0.0,2026-08-19
T York,DEN,LB,423.0,0.0,2026-08-19
D Lawson,PHI,LB,424.0,0.0,2026-08-19
K Elliott,CHI,LB,425.0,0.0,2026-08-19
J Dugger,SF,LB,,,2026-08-19
D Overshown,DAL,LB,,,2026-08-19
K Curl,LAR,DB,,,2026-08-19
X McKinney,GB,DB,,,2026-08-19
J Love,SEA,DB,,,2026-08-19
C Young,NO,DL,,,2026-08-19
